,Text,Date,Geolocation
46,enerjinin evrimine tanıklık etmeye ne dersin? #medigard #heri̇şbiter #enerjimbitmez,2017-01-26 10:00:27+00:00,"AMASYA,Turkey"
47,"vücuttaki kalsiyumun %99’u kemiklerde ve dişlerde, geri kalan %1’i ise vücut sıvılarında ve hücrelerde bulunmaktadır. #medigard ",2017-01-25 12:25:28+00:00,"AMASYA,Turkey"
48,"düzenli olarak yapılan egzersizler, günlük temponuzda daha enerjik olmanızı sağlar.",2017-01-24 12:39:34+00:00,"AMASYA,Turkey"
49,başarıya ulaşmak hiç de zor değil!,2017-01-23 12:37:44+00:00,"AMASYA,Turkey"
50,dirençli olmak için uyku düzenine ve uykunu almaya önem göstermelisin!,2017-01-20 12:55:23+00:00,"AMASYA,Turkey"
51,düzenli yapılan esnetme egzersizleri esnekliği ve performansı artırır.,2017-01-19 12:13:53+00:00,"AMASYA,Turkey"
52,"bedenin sana bir şeyler anlatıyor, dinliyor musun?",2017-01-17 12:03:15+00:00,"AMASYA,Turkey"
53,i̇nsanlara ilham vermeye ne dersin?,2017-01-09 09:00:23+00:00,"AMASYA,Turkey"
54,medigard diye bir şey var çok etkili veya taze sıkma portakal suyu :),2017-01-05 06:39:54+00:00,"AMASYA,Turkey"
55,medigard limited mgz medical equipment deals and alliances profile [updated: 20161223] prices from usd $250 http://ow.ly/xfmy100xpfx,2017-01-03 01:18:34+00:00,"AMASYA,Turkey"
56,#sağlıklıyaşami̇puçları egzersiz yaparken her öğünde protein tüketmeyi unutma!,2017-01-31 12:08:22+00:00,"ARDAHAN,Turkey"
58,alarm çalmadan uyanmaya var mısın? #medigard ,2017-01-30 07:02:46+00:00,"ARDAHAN,Turkey"
59,vücuttaki #koenzimq10 eksikliğini önlemek için günlük 30 ila 60 mg arası koenzim q10 alınması önerilmektedir.,2017-01-27 12:50:59+00:00,"ARDAHAN,Turkey"
60,enerjinin evrimine tanıklık etmeye ne dersin? #medigard #heri̇şbiter #enerjimbitmez,2017-01-26 10:00:27+00:00,"ARDAHAN,Turkey"
